step,time_fs,temperature_K,potential_eV,kinetic_eV,total_eV,max_force_eV_A
0,0.0,300.0000000000001,-43.068477951115675,0.3102238921398197,-42.75825405897586,8.404513336357187e-16
1,0.5,299.72928479757417,-43.068197931123,0.30994395106062644,-42.75825398006238,0.05365707013578809
2,1.0,298.91846616786614,-43.06735922334727,0.30910550002353476,-42.75825372332373,0.10729015543814381
3,1.5,297.57157929645496,-43.06596600141403,0.30771271173179743,-42.75825328968224,0.16083363693042296
4,2.0,295.6954106490606,-43.064025284835495,0.3057726039314461,-42.75825268090405,0.21422088353467017
5,2.5,293.29946910856256,-43.061546909178176,0.3032950095646702,-42.758251899613505,0.2673839369916665
6,3.0,290.3959434225289,-43.05854348207633,0.30029253276717255,-42.75825094930916,0.3202532185402645
7,3.5,286.99964575815693,-43.055030324879986,0.2967804904994831,-42.7582498343805,0.3727572636356649
8,4.0,283.12794115863085,-43.0510253997239,0.2927768395992143,-42.758248560124684,0.4248224908269108
9,4.5,278.8006627060954,-43.04654922181456,0.2883020890528199,-42.75824713276174,0.47637301069160715
10,5.0,274.0400122239349,-43.041624756761244,0.2833791973138428,-42.7582455594474,0.5273304804313513
11,5.5,268.8704462761703,-43.03627730277034,0.2780334544172127,-42.758243848353125,0.5776140275753322
12,6.0,263.3185471211961,-43.030534357040985,0.2722923485351332,-42.75824200850585,0.6271402119962567
13,6.5,257.41287971739837,-43.02442546795347,0.26618541810950186,-42.75824004984397,0.6758229733036377
14,7.0,251.18383435270994,-43.01798207248459,0.259744089118338,-42.75823798336626,0.7235737683134105
15,7.5,244.66345477469952,-43.011237318189515,0.2530014973486067,-42.75823582084091,0.7703017244286148
16,8.0,237.88525286695923,-43.004225871745355,0.24599229675684425,-42.75823357498851,0.8159138568481594
17,8.5,230.88401004942162,-42.99698371340904,0.23875245410126933,-42.75823125930777,0.8603153602932143
18,9.0,223.69556639868995,-42.989547918973976,0.23131903087541017,-42.758228888098564,0.9034099918307922
19,9.5,216.3565983128284,-42.98195642976651,0.22372995339579052,-42.75822647637072,0.9451004231069983
20,10.0,208.90438578518948,-42.97424781185977,0.21602377214453297,-42.75822403971524,0.9852887732176457
21,10.5,201.37657107141086,-42.96646100641161,0.2082394122118136,-42.7582215941998,1.023877089896799
22,11.0,193.81091045457632,-42.95863507288508,0.2004159166012691,-42.758219156283815,1.0607679875028622
23,11.5,186.24502071643715,-42.950808926712575,0.19259218406104822,-42.75821674265153,1.0958652941455584
24,12.0,178.71612259434863,-42.9430210738589,0.1848067037978533,-42.75821437006105,1.1290747345691046
25,12.5,171.2607835302841,-42.935309344657455,0.17709728945893283,-42.75821205519852,1.1603046432833815
26,13.0,163.91466211567405,-42.92771062934784,0.1695008148676928,-42.758209814480146,1.189466698186408
27,13.5,156.71225692009563,-42.92026061818177,0.16205295429255814,-42.758207663889216,1.2164766648271483
28,14.0,149.68666238780503,-42.91299354881108,0.15478793002454674,-42.75820561878653,1.2412551396593237
29,14.5,142.86933452522132,-42.90594196380516,0.14773827007946688,-42.7582036937257,1.2637282808697403
30,15.0,136.28986914878126,-42.899136481160475,0.14093457888853883,-42.758201902271935,1.2838285153653106
31,15.5,129.97579538587527,-42.89260558058989,0.13440532376191677,-42.75820025682797,1.3014952105094189
32,16.0,123.95238700364149,-42.886375408261465,0.1281766397876362,-42.758198768473825,1.3166752995682767
33,16.5,118.24249398004034,-42.8804696024726,0.12227215566269102,-42.75819744680991,1.329323850450256
34,17.0,112.86639653004534,-42.874909142580016,0.11671284274448965,-42.758196299835525,1.3394045680084163
35,17.5,107.84168348709188,-42.869712223125795,0.1115168892875872,-42.75819533383821,1.3468902214523777
36,18.0,103.18315661565188,-42.864894154804865,0.10669960149526701,-42.7581945533096,1.3517629895661851
37,18.5,98.90276207512716,-42.86046729354741,0.1022733326477483,-42.75819396089966,1.3540147178249147
38,19.0,95.00954985566652,-42.8564409985129,0.09824744115559035,-42.75819355735731,1.3536470832155274
39,19.5,91.50966171306622,-42.852821619637915,0.0946282780834188,-42.758193341554495,1.3506716636962133
40,20.0,88.40634755880599,-42.84961251461262,0.09141920409852812,-42.758193310514095,1.345109911486554
41,20.5,85.70000976368706,-42.84681409475022,0.08862063528437182,-42.75819345946585,1.336993031145945
42,21.0,83.38827454533926,-42.84442389889382,0.08623011696092997,-42.758193781932896,1.3263617648653196
43,21.5,81.46608915743793,-42.842436694030155,0.08424242418609985,-42.758194269844054,1.3132660891968921
44,22.0,79.92584321408214,-42.84084460088425,0.08264968721476516,-42.758194913669485,1.2977648290669648
45,22.5,78.75751213877847,-42.839637242412905,0.08144153983646982,-42.75819570257644,1.2799251964297773
46,23.0,77.94882042820812,-42.83880191280486,0.08060528820315535,-42.75819662460171,1.2598222623052873
47,23.5,77.48542217208079,-42.838323764338426,0.0801260975010666,-42.75819766683736,1.2375383714784793
48,24.0,77.35109608025974,-42.838186009248105,0.07998719362433107,-42.75819881562377,1.213162513443828
49,24.5,77.52795213416108,-42.83837013361926,0.08017007686896362,-42.75820005675029,1.1867896598622902
50,25.0,77.99664689920994,-42.83885612023767,0.08065474458309367,-42.75820137565458,1.15852007848058
51,25.5,78.7366045223244,-42.839622677315084,0.08141991969596399,-42.758202757619124,1.1284586417672866
52,26.0,79.72624048344436,-42.84064747005617,0.0824432820948312,-42.75820418796134,1.0967141430443759
53,26.5,80.94318526269129,-42.84190735212812,0.08370169991462192,-42.7582056522135,1.077956144938219
54,27.0,82.36450522722338,-42.843378594242274,0.08517145795253252,-42.75820713628974,1.0618523155939723
55,27.5,83.966918226261,-42.845037107248615,0.08682848061045549,-42.75820862663816,1.0447842822290991
56,28.0,85.7270016022638,-42.846858657370575,0.08864854699510276,-42.75821011037547,1.0268100252188188
57,28.5,87.62139057256837,-42.84881907146475,0.0906074960604182,-42.75821157540433,1.007990340832892
58,29.0,89.6269651953619,-42.850894430455845,0.0926814199452844,-42.75821301051056,0.9883889540620007
59,29.5,91.7210243855265,-42.85306124938789,0.09484684391976446,-42.75821440546813,0.9680726282503754
60,30.0,93.88144566237432,-42.85529664260783,0.09708089157698249,-42.75821575103085,0.9471112739592737
61,30.5,96.0868300422255,-42.85757847367304,0.09936143466358847,-42.75821703900945,0.9255784513491411
62,31.0,98.31663142922481,-42.85988548917842,0.10166722688016747,-42.75821826229825,0.9035515499937198
63,31.5,100.55126982984137,-42.86219743583141,0.1039780209540487,-42.75821941487737,0.8811121307342791
